city_name,city_url
https://www.iranhotelonline.com/raz-and-jargalan-hotels/,راز و جرگلان
https://www.iranhotelonline.com/ramsar-hotels/,رامسر
https://www.iranhotelonline.com/ramian-hotels/,رامیان
https://www.iranhotelonline.com/rezvanshahr-hotels/,رضوانشهر
https://www.iranhotelonline.com/rafsanjan-hotels/,رفسنجان
https://www.iranhotelonline.com/ravansar-hotels/,روانسر
https://www.iranhotelonline.com/rudbar-hotels/,رودبار
https://www.iranhotelonline.com/rudsar-hotels/,رودسر
https://www.iranhotelonline.com/zahedan-hotels/,زاهدان
https://www.iranhotelonline.com/zanjan-hotels/,زنجان
https://www.iranhotelonline.com/zavareh-hotels/,زواره
https://www.iranhotelonline.com/sari-hotels/,ساری
https://www.iranhotelonline.com/saman-hotels/,سامان
https://www.iranhotelonline.com/saveh-hotels/,ساوه
https://www.iranhotelonline.com/sabzevar-hotels/,سبزوار
https://www.iranhotelonline.com/sepidan-hotels/,سپیدان
https://www.iranhotelonline.com/sarab-hotels/,سراب
https://www.iranhotelonline.com/sarayan-hotels/,سرایان
https://www.iranhotelonline.com/sarakhs-hotels/,سرخس
https://www.iranhotelonline.com/sorkheh-hotels/,سرخه
https://www.iranhotelonline.com/sareyn-hotels/,سرعین
https://www.iranhotelonline.com/saqqez-hotels/,سقز
https://www.iranhotelonline.com/salmas-hotels/,سلماس
https://www.iranhotelonline.com/salman-shahr-hotels/,سلمان شهر
https://www.iranhotelonline.com/semnan-hotels/,سمنان
https://www.iranhotelonline.com/sanandaj-hotels/,سنندج
https://www.iranhotelonline.com/sisakht-hotels/,سی سخت
https://www.iranhotelonline.com/siahkal-hotels/,سیاهکل
https://www.iranhotelonline.com/sirjan-hotels/,سیرجان
https://www.iranhotelonline.com/sirik-hotels/,سیریک
https://www.iranhotelonline.com/shazand-hotels/,شازند
https://www.iranhotelonline.com/shanderman-hotels/,شاندرمن
https://www.iranhotelonline.com/shahedieh-hotels/,شاهدیه
https://www.iranhotelonline.com/shahrud-hotels/,شاهرود
https://www.iranhotelonline.com/shahinshahr-hotels/,شاهین شهر
https://www.iranhotelonline.com/shaft-hotels/,شفت
https://www.iranhotelonline.com/shemiranat-hotels/,شمیرانات
https://www.iranhotelonline.com/shahr-e-babak-hotels/,شهر بابک
https://www.iranhotelonline.com/shahr-e-kord-hotels/,شهرکرد
https://www.iranhotelonline.com/shahmirzad-hotels/,شهمیرزاد
https://www.iranhotelonline.com/shush-hotels/,شوش
https://www.iranhotelonline.com/shushtar-hotels/,شوشتر
https://www.iranhotelonline.com/shirgah-hotels/,شیرگاه
https://www.iranhotelonline.com/shirvan-hotels/,شیروان
https://www.iranhotelonline.com/sowmeh-sara-hotels/,صومعه سرا
https://www.iranhotelonline.com/taleqan-hotels/,طالقان
https://www.iranhotelonline.com/tabas-hotels/,طبس
https://www.iranhotelonline.com/abbasabad-hotels/,عباس آباد
https://www.iranhotelonline.com/ajabshir-hotels/,عجب شیر
https://www.iranhotelonline.com/asaluyeh-hotels/,عسلویه
https://www.iranhotelonline.com/aliabad-e-katul-hotels/,علی آباد کتول
https://www.iranhotelonline.com/faruj-hotels/,فاروج
https://www.iranhotelonline.com/ferdows-hotels/,فردوس
https://www.iranhotelonline.com/farmahin-hotels/,فرمهین
https://www.iranhotelonline.com/fereidan-hotels/,فریدن
https://www.iranhotelonline.com/fereydunkenar-hotels/,فریدونکنار
https://www.iranhotelonline.com/fasa-hotels/,فسا
https://www.iranhotelonline.com/fuman-hotels/,فومن
https://www.iranhotelonline.com/firuzabad-hotels/,فیروزآباد
https://www.iranhotelonline.com/firuzkuh-hotels/,فیروزکوه
https://www.iranhotelonline.com/qaem-shahr-hotels/,قائمشهر
https://www.iranhotelonline.com/qaenat-hotels/,قائنات
